DateTime,Positive_reviews,Negative_reviews,Source
2023-11-28,56,12,WDL
2023-11-29,0,0,WDL
2023-11-30,12,9,WDL
2023-12-01,5,7,WDL
2023-12-02,13,7,WDL
2023-12-03,0,0,WDL
2023-12-04,9,5,WDL
2023-12-05,13,0,WDL
2023-12-06,0,0,WDL
2023-12-07,3,11,WDL
2023-12-08,10,5,WDL
2023-12-09,0,0,WDL
2023-12-10,1,4,WDL
2023-12-11,0,0,WDL
2023-12-12,4,4,WDL
2023-12-13,7,4,WDL
2023-12-14,0,0,WDL
2023-12-15,4,4,WDL
2023-12-16,5,5,WDL
2023-12-17,5,7,WDL
2023-12-18,0,0,WDL
2023-12-19,3,2,WDL
2023-12-20,5,4,WDL
2023-12-21,0,0,WDL
2023-12-22,2,0,WDL
2023-12-23,0,0,WDL
2023-12-24,13,7,WDL
2023-12-25,13,4,WDL
2023-12-26,0,0,WDL
2023-12-27,9,9,WDL
2023-12-28,14,6,WDL
2023-12-29,0,0,WDL
2023-12-30,13,3,WDL
2023-12-31,19,10,WDL
2024-01-01,0,0,WDL
2024-01-02,7,5,WDL
2024-01-03,0,0,WDL
2024-01-04,14,2,WDL
2024-01-05,14,6,WDL
2024-01-06,0,0,WDL
2024-01-07,25,16,WDL
2024-01-08,11,11,WDL
2024-01-09,16,10,WDL
2024-01-10,0,0,WDL
2024-01-11,6,6,WDL
2024-01-12,14,10,WDL
2024-01-13,0,0,WDL
2024-01-14,12,15,WDL
2024-01-15,25,8,WDL
2024-01-16,0,0,WDL
2024-01-17,8,6,WDL
2024-01-18,0,0,WDL
2024-01-19,8,3,WDL
2024-01-20,14,7,WDL
2024-01-21,0,0,WDL
2024-01-22,16,6,WDL
2024-01-23,11,7,WDL
2024-01-24,0,0,WDL
2024-01-25,4,3,WDL
2024-01-26,11,3,WDL
2024-01-27,0,0,WDL
2024-01-28,10,7,WDL
2024-01-29,0,0,WDL
2024-01-30,5,0,WDL
2024-01-31,3,3,WDL
2024-02-01,0,0,WDL
2024-02-02,4,5,WDL
2024-02-03,5,5,WDL
2024-02-04,0,0,WDL
2024-02-05,3,5,WDL
2024-02-06,0,0,WDL
2024-02-07,4,2,WDL
2024-02-08,1,4,WDL
2024-02-09,0,0,WDL
2024-02-10,3,4,WDL
2024-02-11,3,1,WDL
2024-02-12,0,0,WDL
2024-02-13,4,2,WDL
2024-02-14,0,0,WDL
2024-02-15,3,5,WDL
2024-02-16,0,0,WDL
2024-02-17,8,9,WDL
2024-02-18,16,10,WDL
2024-02-19,0,0,WDL
2024-02-20,11,6,WDL
2024-02-21,16,9,WDL
2024-02-22,0,0,WDL
2024-02-23,12,6,WDL
2024-02-24,0,0,WDL
2024-02-25,0,0,WDL
2024-02-26,27,19,WDL
2024-02-27,0,0,WDL
2024-02-28,12,1,WDL
2024-02-29,13,9,WDL
2024-03-01,0,0,WDL
2024-03-02,11,6,WDL
2024-03-03,0,0,WDL
2024-03-04,8,4,WDL
2024-03-05,0,0,WDL
2024-03-06,6,2,WDL
2024-03-07,0,0,WDL
2024-03-08,2,2,WDL
2024-03-09,0,0,WDL
2024-03-10,12,6,WDL
2024-03-11,0,0,WDL
2024-03-12,3,7,WDL
2024-03-13,0,0,WDL
2024-03-14,6,9,WDL
2024-03-15,3,2,WDL
2024-03-16,0,0,WDL
2024-03-17,4,14,WDL
2024-03-18,15,5,WDL
2024-03-19,0,0,WDL
2024-03-20,9,7,WDL
2024-03-21,0,0,WDL
2024-03-22,12,6,WDL
2024-03-23,3,1,WDL
2024-03-24,0,0,WDL
2024-03-25,5,2,WDL
2024-03-26,9,7,WDL
2024-03-27,0,0,WDL
2024-03-28,4,8,WDL
2024-03-29,1,6,WDL
2024-03-30,0,0,WDL
2024-03-31,7,9,WDL
2024-04-01,1,2,WDL
2024-04-02,0,0,WDL
2024-04-03,4,4,WDL
2024-04-04,0,0,WDL
2024-04-05,8,2,WDL
2024-04-06,0,0,WDL
